Structure,Treatment,Position,Species,Date0,Length_cm0,Width1_cm0,Width2_cm0,EV0,Survival0,Comments0,Date1,Length_cm1,Width1_cm1,Width2_cm1,EV1,Survival1,Comments1
Tree 014,Floating tree,1_2_1,Acropora formosa,29-Aug-19,5.7,4,4.4,79,100,,04-Feb-20,11.5,10.1,9.1,833,100,
Tree 014,Floating tree,1_2_2,Acropora formosa,29-Aug-19,5.1,4.7,1.9,43,100,,04-Feb-20,11.5,9,6.9,568,100,
Tree 014,Floating tree,1_2_3,Acropora formosa,29-Aug-19,4.9,3.7,3.6,50,100,,04-Feb-20,12.5,8.2,7,564,100,
Tree 014,Floating tree,1_2_4,Acropora formosa,29-Aug-19,3.6,3.7,2.5,27,100,,04-Feb-20,11.5,5.9,4.9,264,100,
Tree 014,Floating tree,1_2_5,Acropora formosa,29-Aug-19,5.1,3.1,2.1,28,100,,04-Feb-20,11.3,7.4,6.9,447,100,
Tree 014,Floating tree,1_3_1,Acropora formosa,29-Aug-19,6.1,5.5,5.4,144,100,,04-Feb-20,9.3,8.1,7,416,100,
Tree 014,Floating tree,1_3_2,Acropora formosa,29-Aug-19,6.3,5.3,3,87,100,,04-Feb-20,10.3,6.1,6.2,306,100,
Tree 014,Floating tree,1_3_3,Acropora formosa,29-Aug-19,5,4,2.8,45,100,,04-Feb-20,10.4,9.2,6.3,490,90,
Tree 014,Floating tree,1_3_4,Acropora formosa,29-Aug-19,4.4,2.9,2.8,29,100,,04-Feb-20,10.9,4.7,3.9,159,100,
Tree 014,Floating tree,1_3_5,Acropora formosa,29-Aug-19,5.1,5.8,2.8,74,100,,04-Feb-20,8.2,5.9,6.4,246,100,
Tree 014,Floating tree,2_1_1,Acropora verweyi,29-Aug-19,3.9,3,1.9,19,100,,04-Feb-20,7.5,6.6,4.9,191,100,
Tree 014,Floating tree,2_1_2,Acropora verweyi,29-Aug-19,6.1,3.1,3.4,50,100,,04-Feb-20,12.2,8.3,6.7,543,100,
Tree 014,Floating tree,2_1_3,Acropora verweyi,29-Aug-19,6,1.9,1.4,13,100,,04-Feb-20,8.7,3.3,4.2,95,100,
Tree 014,Floating tree,2_1_4,Acropora verweyi,29-Aug-19,4.5,4,2.5,38,100,,04-Feb-20,9.5,6.2,5.2,245,100,
Tree 014,Floating tree,2_1_5,Acropora verweyi,29-Aug-19,4.4,3.8,2.7,37,100,,04-Feb-20,11.1,7.4,5.8,377,100,
Tree 014,Floating tree,2_2_1,Acropora verweyi,29-Aug-19,7.2,4.5,2.7,74,100,,04-Feb-20,11.9,8,4.8,377,100,
Tree 014,Floating tree,2_2_2,Acropora verweyi,29-Aug-19,5.2,2,1.7,14,100,,04-Feb-20,9.6,4.6,3.7,128,100,
Tree 014,Floating tree,2_2_3,Acropora verweyi,29-Aug-19,6.8,4.9,3.9,104,100,,04-Feb-20,11.8,10.5,6.8,690,100,
Tree 014,Floating tree,2_2_4,Acropora verweyi,29-Aug-19,7.6,5.3,2,80,100,,04-Feb-20,11,7.3,4.7,312,100,
Tree 014,Floating tree,2_2_5,Acropora verweyi,29-Aug-19,7.6,2.3,2.5,33,100,,04-Feb-20,11.8,6.5,4.7,292,100,
Tree 014,Floating tree,2_3_1,Acropora verweyi,29-Aug-19,5.3,1.6,1.3,9,100,,04-Feb-20,8,2.5,2.2,35,100,
Tree 014,Floating tree,2_3_2,Acropora verweyi,29-Aug-19,3.8,3.2,3.1,30,100,,04-Feb-20,6,5.3,4.5,112,100,
Tree 014,Floating tree,2_3_3,Acropora verweyi,29-Aug-19,4.7,3.1,3.2,37,100,,04-Feb-20,6.3,5,5.2,128,90,
Tree 014,Floating tree,2_3_4,Acropora verweyi,29-Aug-19,4.1,3.1,2.6,26,100,,04-Feb-20,7.4,5.9,5.3,181,70,
Tree 014,Floating tree,2_3_5,Acropora verweyi,29-Aug-19,4.9,2.4,2,18,100,,04-Feb-20,11.7,7.6,5,359,100,
Tree 014,Floating tree,3_1_1,Pocillopora verrucosa,29-Aug-19,5.2,3.5,3.1,45,100,,04-Feb-20,9.8,8.5,7.2,474,100,
Tree 014,Floating tree,3_1_2,Pocillopora verrucosa,29-Aug-19,7.1,5.5,4.8,151,100,,04-Feb-20,8.9,8,8.4,471,100,
Tree 014,Floating tree,3_1_3,Pocillopora verrucosa,29-Aug-19,4.3,3.2,2.7,30,100,,04-Feb-20,9.4,9.1,6.4,445,100,
Tree 014,Floating tree,3_1_4,Pocillopora verrucosa,29-Aug-19,5.1,4.8,2.7,56,100,,04-Feb-20,,,,0,0,Dead
Tree 014,Floating tree,3_1_5,Pocillopora verrucosa,29-Aug-19,4.5,3.1,2.5,28,100,,04-Feb-20,,,,0,0,Dead
Tree 014,Floating tree,3_2_1,Pocillopora verrucosa,29-Aug-19,4.6,3.9,3.7,53,100,,04-Feb-20,10.3,8.7,7.6,534,100,
Tree 014,Floating tree,3_2_2,Pocillopora verrucosa,29-Aug-19,5.1,4.1,3.3,55,100,,04-Feb-20,8.5,7.1,6.8,318,100,
Tree 014,Floating tree,3_2_3,Pocillopora verrucosa,29-Aug-19,5.9,4.6,3.4,72,100,,04-Feb-20,9.9,9.1,5.3,405,100,
Tree 014,Floating tree,3_2_4,Pocillopora verrucosa,29-Aug-19,4.7,4.1,2.8,43,100,,04-Feb-20,6.1,4.3,3.3,70,100,
Tree 014,Floating tree,3_2_5,Pocillopora verrucosa,29-Aug-19,4.5,4.3,3.1,48,100,,04-Feb-20,6.4,4.8,3.9,93,100,
Tree 014,Floating tree,3_3_1,Pocillopora verrucosa,29-Aug-19,5.3,3.4,3.5,50,100,,04-Feb-20,8,6.5,5.3,220,100,
Tree 014,Floating tree,3_3_2,Pocillopora verrucosa,29-Aug-19,4.1,3.7,2,26,100,,04-Feb-20,,,,0,0,missing
Tree 014,Floating tree,3_3_3,Pocillopora verrucosa,29-Aug-19,5,4.4,3,52,100,,04-Feb-20,7.3,5.4,4.5,140,90,
Tree 014,Floating tree,3_3_4,Pocillopora verrucosa,29-Aug-19,5.1,3.8,3.2,48,100,,04-Feb-20,3,2,0,2,10,algae
Tree 014,Floating tree,3_3_5,Pocillopora verrucosa,29-Aug-19,5.4,3.4,1.9,30,100,,04-Feb-20,,,,0,0,missing
Tree 014,Floating tree,4_1_1,Porites cylindrica,29-Aug-19,5.9,2.7,2.3,28,80,,04-Feb-20,,,,0,0,missing
Tree 014,Floating tree,4_1_2,Porites cylindrica,29-Aug-19,5.4,4.4,3.8,71,100,,04-Feb-20,,,,0,0,missing
Tree 014,Floating tree,4_1_3,Porites cylindrica,29-Aug-19,5.1,2.2,1.5,14,100,,04-Feb-20,,,,0,0,missing
Tree 014,Floating tree,4_1_4,Porites cylindrica,29-Aug-19,4.5,3.6,3.2,40,100,,04-Feb-20,,,,0,0,missing
Tree 014,Floating tree,4_1_5,Porites cylindrica,29-Aug-19,6.6,4.2,4.3,93,90,,04-Feb-20,7.2,2.1,4.8,67,60,
Tree 014,Floating tree,4_2_1,Porites cylindrica,29-Aug-19,5.4,3,2.5,32,100,,04-Feb-20,7.3,3.5,3.5,70,100,
Tree 014,Floating tree,4_2_2,Porites cylindrica,29-Aug-19,5.8,5,3.8,89,100,,04-Feb-20,8.8,5.7,5.6,220,100,
Tree 014,Floating tree,4_2_3,Porites cylindrica,29-Aug-19,5.5,3.6,3.3,52,90,,04-Feb-20,7.2,5.8,5,164,100,
Tree 014,Floating tree,4_2_4,Porites cylindrica,29-Aug-19,3.3,2.4,2.8,17,80,,04-Feb-20,4.6,2.5,4.4,43,100,
Tree 014,Floating tree,4_2_5,Porites cylindrica,29-Aug-19,4.8,2.8,1.3,16,100,,04-Feb-20,2.1,1.2,0,1,10,algae
Tree 014,Floating tree,4_3_1,Porites cylindrica,29-Aug-19,7.5,3.9,2.8,65,100,,04-Feb-20,,,,0,0,missing
Tree 014,Floating tree,4_3_2,Porites cylindrica,29-Aug-19,4.8,4.1,1.7,32,90,,04-Feb-20,,,,0,0,missing
Tree 014,Floating tree,4_3_3,Porites cylindrica,29-Aug-19,5.7,4.5,2.4,53,100,,04-Feb-20,,,,0,0,missing
Tree 014,Floating tree,4_3_4,Porites cylindrica,29-Aug-19,4,3.5,2.3,26,100,,04-Feb-20,,,,0,0,missing
Tree 014,Floating tree,4_3_5,Porites cylindrica,29-Aug-19,6.7,5.6,3.6,112,100,#NAME?,04-Feb-20,5.7,3.9,2.2,42,50,
Tree 027,Floating tree,1_1_1,Acropora formosa,30-Aug-19,3.6,1.3,1.2,4,100,,03-Feb-20,7.6,2.8,3,50,100,
Tree 027,Floating tree,1_1_2,Acropora formosa,30-Aug-19,6.1,1.9,1.5,13,100,,03-Feb-20,9,5.4,4.1,155,100,
Tree 027,Floating tree,1_1_3,Acropora formosa,30-Aug-19,5.5,2.7,3.9,48,100,,03-Feb-20,11.1,6.5,7,395,100,
Tree 027,Floating tree,1_1_4,Acropora formosa,30-Aug-19,5.5,4.8,2.5,58,100,,03-Feb-20,9.4,10.1,5.1,425,100,
Tree 027,Floating tree,1_1_5,Acropora formosa,30-Aug-19,5.3,1.9,1.3,11,100,,03-Feb-20,7.2,2.7,3,45,100,
Tree 027,Floating tree,1_2_1,Acropora formosa,30-Aug-19,7.8,1.4,1.7,15,100,,03-Feb-20,7.1,3.5,3.3,64,100,
Tree 027,Floating tree,1_2_2,Acropora formosa,30-Aug-19,7.9,2.1,1.7,23,100,,03-Feb-20,10,4.3,5.6,194,100,
Tree 027,Floating tree,1_2_3,Acropora formosa,30-Aug-19,7.4,3.5,2.6,55,100,,03-Feb-20,10.4,7.1,6.1,355,100,
Tree 027,Floating tree,1_2_4,Acropora formosa,30-Aug-19,4.3,4.1,3.7,52,100,,03-Feb-20,5.7,5.3,4.5,107,100,
Tree 027,Floating tree,1_2_5,Acropora formosa,30-Aug-19,6.6,2.7,4.7,69,100,,03-Feb-20,10.4,10,6.4,549,100,
Tree 027,Floating tree,1_3_1 ,Acropora formosa,30-Aug-19,4.2,1.2,1,4,100,,03-Feb-20,5.5,2.1,2.4,21,100,
Tree 027,Floating tree,1_3_2,Acropora formosa,30-Aug-19,7.1,3.4,2.9,55,100,,03-Feb-20,12.1,5,5.1,241,100,
Tree 027,Floating tree,1_3_3,Acropora formosa,30-Aug-19,6.7,3.6,3.7,69,100,,03-Feb-20,13.2,9,8.9,835,100,
Tree 027,Floating tree,1_3_4,Acropora formosa,30-Aug-19,3.5,1.7,1.7,8,100,,03-Feb-20,6.8,4.9,3.9,105,100,
Tree 027,Floating tree,1_3_5,Acropora formosa,30-Aug-19,7.8,5.1,3.3,106,100,,03-Feb-20,9.1,5.4,5.2,203,100,
Tree 027,Floating tree,2_1_1,Acropora verweyi,30-Aug-19,3.5,1.9,2,10,100,,03-Feb-20,9.4,5.9,3.8,172,100,
Tree 027,Floating tree,2_1_2,Acropora verweyi,30-Aug-19,5.5,2.7,2.2,25,100,,03-Feb-20,10.6,7.3,6.7,406,100,
Tree 027,Floating tree,2_1_3,Acropora verweyi,30-Aug-19,3.9,1.8,1.6,9,100,,03-Feb-20,7.3,2.7,3.4,54,100,
Tree 027,Floating tree,2_1_4,Acropora verweyi,30-Aug-19,5.7,4.5,3,62,100,,03-Feb-20,9.9,8.8,5.2,377,100,
Tree 027,Floating tree,2_1_5,Acropora verweyi,30-Aug-19,,,,0,,skipped image,03-Feb-20,12.3,7.7,6.9,511,100,
Tree 027,Floating tree,2_2_1,Acropora verweyi,30-Aug-19,4.8,3.8,2.1,34,100,,03-Feb-20,10.8,8.7,7.7,569,100,
Tree 027,Floating tree,2_2_2,Acropora verweyi,30-Aug-19,8.2,3.2,6.6,153,100,,03-Feb-20,12.3,9.7,8.9,831,100,
Tree 027,Floating tree,2_2_3,Acropora verweyi,30-Aug-19,6.5,4.8,2.4,66,100,,03-Feb-20,9.9,8,6.6,417,100,
Tree 027,Floating tree,2_2_4,Acropora verweyi,30-Aug-19,6.2,2.9,1.7,26,100,,03-Feb-20,13.6,6.4,4.5,316,100,
Tree 027,Floating tree,2_2_5,Acropora verweyi,30-Aug-19,7.1,3,2,35,100,,03-Feb-20,13.7,6.2,7.3,485,100,
Tree 027,Floating tree,2_3_1,Acropora verweyi,30-Aug-19,7.4,2.6,3,45,100,,03-Feb-20,12.3,7.1,5.6,390,100,
Tree 027,Floating tree,2_3_2,Acropora verweyi,30-Aug-19,7.1,4.7,2.5,71,100,,03-Feb-20,10.1,9.8,6.6,527,100,
Tree 027,Floating tree,2_3_3,Acropora verweyi,30-Aug-19,5.1,2.5,2.3,22,100,,03-Feb-20,7.4,4,3.9,91,100,
Tree 027,Floating tree,2_3_4,Acropora verweyi,30-Aug-19,4.4,3.4,2.6,31,100,,03-Feb-20,10.9,6.6,7.4,419,100,
Tree 027,Floating tree,2_3_5,Acropora verweyi,30-Aug-19,6.7,4.1,3.4,74,100,,03-Feb-20,10.3,8,8.9,579,100,
Tree 027,Floating tree,3_1_1,Pocillopora verrucosa,30-Aug-19,4.4,3.5,2.3,29,100,,03-Feb-20,6.4,7.1,5.2,190,100,
Tree 027,Floating tree,3_1_2,Pocillopora verrucosa,30-Aug-19,4.9,4.2,2.8,48,100,,03-Feb-20,8.1,6.8,6.3,274,100,
Tree 027,Floating tree,3_1_3,Pocillopora verrucosa,30-Aug-19,5.1,3,2.5,29,100,,03-Feb-20,8.8,7.1,7.4,360,100,
Tree 027,Floating tree,3_1_4,Pocillopora verrucosa,30-Aug-19,4.3,4.4,2.6,41,100,,03-Feb-20,9.3,7.2,7.3,385,100,
Tree 027,Floating tree,3_1_5,Pocillopora verrucosa,30-Aug-19,4.8,4.2,3.5,56,100,,03-Feb-20,10.6,9.2,9.1,697,100,
Tree 027,Floating tree,3_2_1,Pocillopora verrucosa,30-Aug-19,5.8,4.9,3.3,76,100,,03-Feb-20,9.6,7.8,7.3,429,100,
Tree 027,Floating tree,3_2_2,Pocillopora verrucosa,30-Aug-19,5.2,3.3,4.2,57,100,,03-Feb-20,8.6,7.6,7.8,397,100,
Tree 027,Floating tree,3_2_3,Pocillopora verrucosa,30-Aug-19,4.8,3.1,4.5,54,100,,03-Feb-20,9.5,9.9,7.9,588,100,
Tree 027,Floating tree,3_2_4,Pocillopora verrucosa,30-Aug-19,4.6,2.4,2.3,20,100,,03-Feb-20,7.6,6.3,5.5,211,100,
Tree 027,Floating tree,3_2_5,Pocillopora verrucosa,30-Aug-19,5.3,4.3,3.1,57,100,,03-Feb-20,8.6,8.2,5.6,320,100,
Tree 027,Floating tree,3_3_1,Pocillopora verrucosa,30-Aug-19,5.2,3.2,2.4,32,100,,03-Feb-20,9.1,7.5,6,324,100,
Tree 027,Floating tree,3_3_2,Pocillopora verrucosa,30-Aug-19,5.9,3.8,2.9,52,100,,03-Feb-20,9.2,7.8,6.9,387,100,
Tree 027,Floating tree,3_3_3,Pocillopora verrucosa,30-Aug-19,5.4,3,4.4,58,100,,03-Feb-20,11.3,8.9,8.4,658,100,
Tree 027,Floating tree,3_3_4,Pocillopora verrucosa,30-Aug-19,4.6,4.3,3.8,60,100,,03-Feb-20,7.9,7.1,5.6,249,100,
Tree 027,Floating tree,3_3_5,Pocillopora verrucosa,30-Aug-19,4.7,4.9,3.9,71,100,,03-Feb-20,8.7,7,7,336,100,
Tree 027,Floating tree,4_1_1,Porites cylindrica,30-Aug-19,5.4,2.4,1.7,18,90,,03-Feb-20,7.5,3.2,3.3,61,100,
Tree 027,Floating tree,4_1_2,Porites cylindrica,30-Aug-19,7.3,1.6,2.4,23,100,,03-Feb-20,,,,0,0,Dead
Tree 027,Floating tree,4_1_3,Porites cylindrica,30-Aug-19,6.7,2.8,2.8,42,90,,03-Feb-20,9.8,5.3,5,206,90,
Tree 027,Floating tree,4_1_4,Porites cylindrica,30-Aug-19,6.4,2.4,3.7,47,90,,03-Feb-20,7.7,5,3.4,108,100,
Tree 027,Floating tree,4_1_5,Porites cylindrica,30-Aug-19,6.1,3.4,1.9,33,100,,03-Feb-20,5,7.9,4.7,156,100,
Tree 027,Floating tree,4_2_1,Porites cylindrica,30-Aug-19,3.3,4.9,3.3,44,90,,03-Feb-20,5.2,3.3,1.5,24,100,
Tree 027,Floating tree,4_2_2,Porites cylindrica,30-Aug-19,3.6,2.8,1.3,12,90,,03-Feb-20,14.1,4.4,3,149,100,
Tree 027,Floating tree,4_2_3,Porites cylindrica,30-Aug-19,7.4,1.3,1.8,14,100,,03-Feb-20,9.3,5.1,4,151,90,
Tree 027,Floating tree,4_2_4,Porites cylindrica,30-Aug-19,4.8,5.2,2.3,53,80,,03-Feb-20,6.1,3.1,2,32,100,
Tree 027,Floating tree,4_2_5,Porites cylindrica,30-Aug-19,5.2,1.8,1.8,13,100,,03-Feb-20,8,2.3,4.6,74,100,
Tree 027,Floating tree,4_3_1,Porites cylindrica,30-Aug-19,5.4,3.1,3.5,46,90,,03-Feb-20,7.5,3.6,5.6,123,100,
Tree 027,Floating tree,4_3_2,Porites cylindrica,30-Aug-19,6.7,2.5,1.8,24,100,,03-Feb-20,9.5,5.4,1.8,97,100,
Tree 027,Floating tree,4_3_3,Porites cylindrica,30-Aug-19,4.2,3.3,2.2,25,100,,03-Feb-20,7.1,5.8,5,160,100,
Tree 027,Floating tree,4_3_4,Porites cylindrica,30-Aug-19,4.9,4.9,0,24,100,skipped image,03-Feb-20,7.8,4.5,6.6,188,100,
Tree 027,Floating tree,4_3_5,Porites cylindrica,30-Aug-19,,,,0,,skipped image,03-Feb-20,7.4,3.1,4,75,100,
Tree 029,Floating tree,1_1_1,Acropora formosa,29-Aug-19,6.7,3.2,5.3,97,100,,05-Feb-20,10.7,9.2,10.5,811,100,
Tree 029,Floating tree,1_1_2,Acropora formosa,29-Aug-19,5.6,4.7,3.7,78,100,,05-Feb-20,8.5,8.4,7.1,403,100,
Tree 029,Floating tree,1_1_3,Acropora formosa,29-Aug-19,5.3,3.1,2.5,32,100,,05-Feb-20,10.4,5.1,5.7,237,100,
Tree 029,Floating tree,1_1_4,Acropora formosa,29-Aug-19,6,3.2,2.4,37,100,,05-Feb-20,8.1,5.4,5.2,177,100,
Tree 029,Floating tree,1_1_5,Acropora formosa,29-Aug-19,4.9,2.9,2.5,28,100,,05-Feb-20,7,5.6,5.4,166,100,
Tree 029,Floating tree,1_2_1,Acropora formosa,29-Aug-19,5.6,3.3,3.6,51,100,,05-Feb-20,10.6,6.6,9.8,562,100,
Tree 029,Floating tree,1_2_2,Acropora formosa,29-Aug-19,5.5,1.7,1.4,10,100,,05-Feb-20,11.2,3.8,4.4,146,100,
Tree 029,Floating tree,1_2_3,Acropora formosa,29-Aug-19,4.3,3.3,2.7,31,100,,05-Feb-20,8.9,6.1,5.3,226,100,
Tree 029,Floating tree,1_2_4,Acropora formosa,29-Aug-19,5.2,4,2.3,41,100,,05-Feb-20,11.1,6.9,5.1,316,100,
Tree 029,Floating tree,1_2_5,Acropora formosa,29-Aug-19,7.5,2.7,2.2,35,100,,05-Feb-20,15.4,6.2,4.8,371,100,
Tree 029,Floating tree,1_3_1,Acropora formosa,29-Aug-19,4.5,4,3.3,46,100,,05-Feb-20,9.5,6,6,265,100,
Tree 029,Floating tree,1_3_2,Acropora formosa,29-Aug-19,4.8,3.5,3.5,44,100,,05-Feb-20,10.5,7.3,7.2,431,100,
Tree 029,Floating tree,1_3_3,Acropora formosa,29-Aug-19,4.1,2.1,1.7,12,100,,05-Feb-20,8.6,5.5,5.1,190,100,
Tree 029,Floating tree,1_3_4,Acropora formosa,29-Aug-19,6.1,7,3.2,123,100,,05-Feb-20,11.4,9,7.1,581,100,
Tree 029,Floating tree,1_3_5,Acropora formosa,29-Aug-19,5.6,4.8,2.6,60,100,,05-Feb-20,,,,0,0,Missing
Tree 029,Floating tree,2_1_1,Acropora verweyi,29-Aug-19,3,1.3,1.6,5,100,,05-Feb-20,5.5,3,3.2,42,100,
Tree 029,Floating tree,2_1_2,Acropora verweyi,29-Aug-19,5.7,4.2,2.8,56,100,,05-Feb-20,9.2,8.1,6.1,363,100,
Tree 029,Floating tree,2_1_3,Acropora verweyi,29-Aug-19,5.7,6.8,4.4,139,100,,05-Feb-20,11.5,11,7.3,756,100,
Tree 029,Floating tree,2_1_4,Acropora verweyi,29-Aug-19,5.7,3.9,3,54,100,,05-Feb-20,10.1,7.8,5.8,365,100,
Tree 029,Floating tree,2_1_5,Acropora verweyi,29-Aug-19,5.3,2.8,2.5,29,100,,05-Feb-20,9.8,3.8,4.6,135,90,
Tree 029,Floating tree,2_2_1,Acropora verweyi,29-Aug-19,8,3.8,3.2,76,100,,05-Feb-20,11.7,9.8,8.2,745,100,
Tree 029,Floating tree,2_2_2,Acropora verweyi,29-Aug-19,5.6,3.9,3.1,53,100,,05-Feb-20,9.9,8.1,8.8,558,100,
Tree 029,Floating tree,2_2_3,Acropora verweyi,29-Aug-19,5.7,1.9,1.3,12,100,,05-Feb-20,8.4,3.3,3.3,70,100,
Tree 029,Floating tree,2_2_4,Acropora verweyi,29-Aug-19,5,4,3.8,59,100,,05-Feb-20,12.4,9.7,8,766,100,
Tree 029,Floating tree,2_2_5,Acropora verweyi,29-Aug-19,4.5,2.7,1.6,16,100,,05-Feb-20,,,,0,0,Missing
Tree 029,Floating tree,2_3_1,Acropora verweyi,29-Aug-19,5.6,5,5.1,112,100,,05-Feb-20,10.4,7.9,7.2,464,100,
Tree 029,Floating tree,2_3_2,Acropora verweyi,29-Aug-19,6,4.3,1.5,40,100,,05-Feb-20,8,6.7,4.5,195,100,
Tree 029,Floating tree,2_3_3,Acropora verweyi,29-Aug-19,7.1,3.9,2.7,62,100,,05-Feb-20,,,,0,0,Missing
Tree 029,Floating tree,2_3_4,Acropora verweyi,29-Aug-19,4.1,1.6,1.7,9,100,,05-Feb-20,8.2,3.4,3.2,68,100,
Tree 029,Floating tree,2_3_5,Acropora verweyi,29-Aug-19,8.5,5.2,4.6,157,100,,05-Feb-20,,,,0,0,Missing
Tree 029,Floating tree,3_1_1,Pocillopora verrucosa,29-Aug-19,5.7,3.6,3.8,62,100,,05-Feb-20,8.9,7.2,5.6,291,100,
Tree 029,Floating tree,3_1_2,Pocillopora verrucosa,29-Aug-19,7.3,6.8,4.2,172,100,,05-Feb-20,10.1,9,8.5,609,100,
Tree 029,Floating tree,3_1_3,Pocillopora verrucosa,29-Aug-19,5.4,3.7,3.4,53,100,,05-Feb-20,9.4,8.2,6.2,379,100,
Tree 029,Floating tree,3_1_4,Pocillopora verrucosa,29-Aug-19,5.6,5.2,2.8,70,100,,05-Feb-20,10,9,6.6,474,100,
Tree 029,Floating tree,3_1_5,Pocillopora verrucosa,29-Aug-19,5.6,5.5,3.9,98,100,,05-Feb-20,8.8,8.5,7.6,445,100,
Tree 029,Floating tree,3_2_1,Pocillopora verrucosa,29-Aug-19,6.3,4,3.1,62,100,,05-Feb-20,10.1,7.4,6.8,403,100,
Tree 029,Floating tree,3_2_2,Pocillopora verrucosa,29-Aug-19,3.7,1.9,2.2,12,100,,05-Feb-20,7,6.9,5,193,100,
Tree 029,Floating tree,3_2_3,Pocillopora verrucosa,29-Aug-19,3.8,3.3,3.4,33,100,,05-Feb-20,9.2,7.6,7.2,389,100,
Tree 029,Floating tree,3_2_4,Pocillopora verrucosa,29-Aug-19,4.5,4.1,3.5,51,100,,05-Feb-20,9,7.3,7.2,371,100,
Tree 029,Floating tree,3_2_5,Pocillopora verrucosa,29-Aug-19,5.3,4.6,2.7,55,100,,05-Feb-20,9.5,7,7,366,100,
Tree 029,Floating tree,3_3_1,Pocillopora verrucosa,29-Aug-19,5.4,3.7,2.7,43,100,,05-Feb-20,9.4,7.6,4.7,278,100,
Tree 029,Floating tree,3_3_2,Pocillopora verrucosa,29-Aug-19,4.1,2.7,2.5,22,100,,05-Feb-20,8.3,4.1,6.5,183,100,
Tree 029,Floating tree,3_3_3,Pocillopora verrucosa,29-Aug-19,4.6,4.3,3.9,61,100,,05-Feb-20,8.1,7.3,9.4,441,100,
Tree 029,Floating tree,3_3_4,Pocillopora verrucosa,29-Aug-19,4,3.6,2.8,32,100,,05-Feb-20,9.1,5.1,6.6,245,100,
Tree 029,Floating tree,3_3_5,Pocillopora verrucosa,29-Aug-19,4,3.5,2.9,32,100,,05-Feb-20,8.7,6.2,4.3,187,100,
Tree 029,Floating tree,4_1_1,Porites cylindrica,29-Aug-19,6.2,5.6,4.3,119,80,,05-Feb-20,5.8,6.2,7.3,205,40,
Tree 029,Floating tree,4_1_2,Porites cylindrica,29-Aug-19,6,4.8,2.2,58,100,,05-Feb-20,10.4,7,2.9,200,80,
Tree 029,Floating tree,4_1_3,Porites cylindrica,29-Aug-19,7.3,5.1,1.5,62,100,,05-Feb-20,11.1,5.3,3.1,154,100,
Tree 029,Floating tree,4_1_4,Porites cylindrica,29-Aug-19,6.1,4.7,2.2,57,100,,05-Feb-20,8.4,6.6,7.1,308,100,
Tree 029,Floating tree,4_1_5,Porites cylindrica,29-Aug-19,6.6,4.3,2.5,60,100,,05-Feb-20,9.9,4.5,2.5,93,90,
Tree 029,Floating tree,4_2_1,Porites cylindrica,29-Aug-19,7.6,6.4,3.4,142,100,,05-Feb-20,9.3,8.2,5.6,349,100,
Tree 029,Floating tree,4_2_2,Porites cylindrica,29-Aug-19,6.8,6.1,7.4,247,100,,05-Feb-20,8.5,8.9,8.8,518,100,
Tree 029,Floating tree,4_2_3,Porites cylindrica,29-Aug-19,7.5,4.8,1.7,61,100,,05-Feb-20,9.7,6.8,3.1,185,80,
Tree 029,Floating tree,4_2_4,Porites cylindrica,29-Aug-19,6.1,4.8,2,56,90,,05-Feb-20,9.2,7.2,5.2,274,100,
Tree 029,Floating tree,4_2_5,Porites cylindrica,29-Aug-19,5.6,2.1,1.9,17,90,,05-Feb-20,7.7,3.7,3.7,83,70,
Tree 029,Floating tree,4_3_1,Porites cylindrica,29-Aug-19,6.8,5.3,3.3,97,100,,05-Feb-20,9.4,9.6,5.6,425,100,
Tree 029,Floating tree,4_3_2,Porites cylindrica,29-Aug-19,6.2,1.8,2.7,25,90,Big diff l1 n l2,05-Feb-20,,,,0,0,Missing
Tree 029,Floating tree,4_3_3,Porites cylindrica,29-Aug-19,4,1.4,1.1,5,100,,05-Feb-20,7,2.7,1.6,26,100,
Tree 029,Floating tree,4_3_4,Porites cylindrica,29-Aug-19,6.1,5,3.3,83,100,,05-Feb-20,7.8,5.9,4,151,100,
Tree 029,Floating tree,4_3_5,Porites cylindrica,29-Aug-19,7.6,2.7,1.8,29,100,,05-Feb-20,11.2,4.7,5.7,238,100,
Tree 088,Normal tree,3_1_3,Acropora formosa,06-Oct-18,4.6,1.4,1.8,9,100,,16-Feb-19,7.8,3.1,2.4,46,100,
Tree 088,Normal tree,3_2_1,Acropora formosa,06-Oct-18,4.3,1.1,1.4,5,100,,16-Feb-19,9.9,3.8,2.5,77,100,
Tree 088,Normal tree,3_2_2,Acropora formosa,06-Oct-18,4.1,2.3,1.6,12,100,,16-Feb-19,8,4.1,3.4,88,100,
Tree 088,Normal tree,3_2_5,Acropora formosa,06-Oct-18,4.5,1.4,1.5,7,100,,16-Feb-19,9.8,2.8,2.6,56,100,
Tree 088,Normal tree,3_3_2,Acropora formosa,06-Oct-18,6,1.7,1.9,15,100,,16-Feb-19,7.2,2.1,2.3,27,100,
Tree 088,Normal tree,2_1_1,Acropora verweyi,06-Oct-18,4.6,1.9,1.9,13,100,,16-Feb-19,2,1.2,1.1,2,10,
Tree 088,Normal tree,2_1_4,Acropora verweyi,06-Oct-18,5.4,2,2.2,19,100,,16-Feb-19,6.8,2.3,2.8,35,90,
Tree 088,Normal tree,2_2_3,Acropora verweyi,06-Oct-18,4.5,1,1.9,7,100,,16-Feb-19,6.8,2.9,2.7,42,80,
